STRAIGHT_DEM,STRAIGHT_GOP,STRAIGHT_ALL,SPLIT_BIDEN,SPLIT_TRUMP,SPLIT_ALL,TOTAL_BIDEN,TOTAL_TRUMP,TOTAL_ALL,GOP_Straight,DEM_Straight,GOP_Split,DEM_Split,prop_split,trump,biden
310,293,609,322,183,518,632,476,1127,0.481116585,0.509031199,0.353281853,0.621621622,0.459627329,0.422360248,0.560780834
671,48,739,139,26,158,810,74,897,0.064952639,0.907983762,0.164556962,0.879746835,0.176142698,0.082497213,0.903010033
608,114,736,346,75,429,954,189,1165,0.154891304,0.826086957,0.174825175,0.806526807,0.368240343,0.16223176,0.81888412
251,116,375,256,67,341,507,183,716,0.309333333,0.669333333,0.196480938,0.750733138,0.476256983,0.255586592,0.708100559
331,151,490,297,117,425,628,268,915,0.308163265,0.675510204,0.275294118,0.698823529,0.464480874,0.292896175,0.686338798
440,149,600,287,94,397,727,243,997,0.248333333,0.733333333,0.236775819,0.722921914,0.398194584,0.243731194,0.729187563
478,61,552,220,44,266,698,105,818,0.110507246,0.865942029,0.165413534,0.827067669,0.325183374,0.128361858,0.853300733
584,51,653,183,20,196,767,71,849,0.078101072,0.894333844,0.102040816,0.933673469,0.230859835,0.083627797,0.903415783
437,182,624,342,120,477,779,302,1101,0.291666667,0.700320513,0.251572327,0.716981132,0.433242507,0.274296094,0.707538601
403,541,962,368,225,619,771,766,1581,0.562370062,0.418918919,0.363489499,0.59450727,0.391524352,0.484503479,0.487666034
363,542,923,335,265,629,698,807,1552,0.587215601,0.393282774,0.421303657,0.532591415,0.405283505,0.519974227,0.449742268
333,705,1049,338,330,697,671,1035,1746,0.672068637,0.317445186,0.473457676,0.484935438,0.399198167,0.592783505,0.384306987
316,668,993,394,361,778,710,1029,1771,0.672708963,0.318227593,0.464010283,0.506426735,0.439299831,0.581027668,0.400903444
364,669,1046,369,358,757,733,1027,1803,0.63957935,0.347992352,0.472919419,0.487450462,0.419855796,0.569606212,0.406544648
302,535,847,307,271,594,609,806,1441,0.631641086,0.356552538,0.456228956,0.516835017,0.41221374,0.559333796,0.422623178
155,525,687,218,330,564,373,855,1251,0.76419214,0.225618632,0.585106383,0.386524823,0.450839329,0.683453237,0.298161471
251,502,759,310,317,646,561,819,1405,0.661396574,0.330698287,0.490712074,0.479876161,0.459786477,0.582918149,0.399288256
554,396,967,229,173,408,783,569,1375,0.409513961,0.572905895,0.424019608,0.56127451,0.296727273,0.413818182,0.569454545
728,619,1383,467,303,790,1195,922,2173,0.44757773,0.526391902,0.383544304,0.591139241,0.363552692,0.424298205,0.549930971
410,338,764,266,180,458,676,518,1222,0.442408377,0.536649215,0.3930131,0.580786026,0.374795417,0.423895254,0.553191489
336,246,600,180,132,307,516,378,907,0.41,0.56,0.429967427,0.586319218,0.338478501,0.416758545,0.56890849
292,232,535,147,147,307,439,379,842,0.43364486,0.545794393,0.478827362,0.478827362,0.364608076,0.450118765,0.521377672
567,510,1097,258,198,462,825,708,1559,0.464904284,0.516864175,0.428571429,0.558441558,0.29634381,0.454137267,0.529185375
619,340,973,310,167,485,929,507,1458,0.349434738,0.636176773,0.344329897,0.639175258,0.332647462,0.347736626,0.637174211
660,485,1163,465,310,792,1125,795,1955,0.417024936,0.56749785,0.391414141,0.587121212,0.40511509,0.406649616,0.57544757
678,398,1108,264,165,438,942,563,1546,0.359205776,0.611913357,0.376712329,0.602739726,0.283311772,0.364165589,0.60931436
643,493,1155,408,260,677,1051,753,1832,0.426839827,0.556709957,0.384047267,0.602658789,0.369541485,0.411026201,0.573689956
827,599,1439,583,306,915,1410,905,2354,0.416261293,0.574704656,0.33442623,0.63715847,0.388700085,0.384451997,0.598980459
567,293,869,275,168,451,842,461,1320,0.33716916,0.652474108,0.372505543,0.609756098,0.341666667,0.349242424,0.637878788
534,468,1011,323,128,462,857,596,1473,0.462908012,0.528189911,0.277056277,0.699134199,0.313645621,0.404616429,0.581805838
231,158,398,162,67,232,393,225,630,0.396984925,0.58040201,0.288793103,0.698275862,0.368253968,0.357142857,0.623809524
937,346,1317,374,178,548,1311,524,1865,0.262718299,0.711465452,0.324817518,0.682481752,0.29383378,0.280965147,0.702949062
667,565,1242,617,314,952,1284,879,2194,0.454911433,0.537037037,0.329831933,0.648109244,0.433910665,0.400638104,0.585232452
546,197,749,168,88,263,714,285,1012,0.263017356,0.728971963,0.33460076,0.63878327,0.259881423,0.281620553,0.705533597
601,253,874,315,129,460,916,382,1334,0.289473684,0.687643021,0.280434783,0.684782609,0.344827586,0.286356822,0.686656672
336,790,1138,421,466,923,757,1256,2061,0.694200351,0.295254833,0.504875406,0.456121343,0.447840854,0.609412906,0.367297428
418,593,1032,423,371,823,841,964,1855,0.574612403,0.40503876,0.450789793,0.513973269,0.443665768,0.51967655,0.453369272
283,341,644,305,248,571,588,589,1215,0.529503106,0.439440994,0.434325744,0.534150613,0.469958848,0.484773663,0.483950617
215,359,584,196,196,406,411,555,990,0.614726027,0.368150685,0.482758621,0.482758621,0.41010101,0.560606061,0.415151515
241,652,905,176,347,541,417,999,1446,0.720441989,0.266298343,0.641404806,0.325323475,0.374135546,0.690871369,0.288381743
228,555,791,192,349,565,420,904,1356,0.701643489,0.288242731,0.617699115,0.339823009,0.416666667,0.666666667,0.309734513
229,486,723,224,305,537,453,791,1260,0.67219917,0.316735823,0.567970205,0.417132216,0.426190476,0.627777778,0.35952381
247,568,834,216,365,587,463,933,1421,0.681055156,0.29616307,0.621805792,0.367972743,0.413089374,0.656579873,0.325826882
208,446,660,180,234,427,388,680,1087,0.675757576,0.315151515,0.548009368,0.421545667,0.392824287,0.625574977,0.356945722
456,766,1230,542,532,1104,998,1298,2334,0.622764228,0.370731707,0.481884058,0.490942029,0.473007712,0.556126821,0.427592117
374,707,1098,434,458,913,808,1165,2011,0.643897996,0.340619308,0.501642935,0.475355969,0.454002984,0.579313774,0.401790154
417,427,861,324,283,635,741,710,1496,0.495934959,0.484320557,0.445669291,0.51023622,0.424465241,0.47459893,0.495320856
459,480,954,477,348,848,936,828,1802,0.503144654,0.481132075,0.410377358,0.5625,0.470588235,0.459489456,0.519422863
381,525,925,439,342,806,820,867,1731,0.567567568,0.411891892,0.424317618,0.544665012,0.465626805,0.500866551,0.473714616
458,949,1429,601,555,1177,1059,1504,2606,0.66410077,0.320503849,0.471537808,0.510620221,0.451650038,0.577129701,0.406369916
513,795,1317,629,460,1110,1142,1255,2427,0.603644647,0.38952164,0.414414414,0.566666667,0.457354759,0.5170993,0.470539761
492,644,1158,633,445,1108,1125,1089,2266,0.556131261,0.424870466,0.401624549,0.571299639,0.488967343,0.480582524,0.49646955
442,712,1169,461,428,906,903,1140,2075,0.609067579,0.378100941,0.472406181,0.508830022,0.436626506,0.54939759,0.435180723
314,530,853,372,342,737,686,872,1590,0.62133646,0.368112544,0.464043419,0.504748982,0.463522013,0.548427673,0.431446541
258,476,740,423,351,796,681,827,1536,0.643243243,0.348648649,0.440954774,0.531407035,0.518229167,0.538411458,0.443359375
367,467,846,388,251,656,755,718,1502,0.552009456,0.433806147,0.382621951,0.591463415,0.436750999,0.478029294,0.502663116
468,638,1115,691,415,1138,1159,1053,2253,0.572197309,0.419730942,0.364674868,0.607205624,0.505104305,0.467376831,0.514425211
234,637,885,235,356,593,469,993,1478,0.719774011,0.26440678,0.600337268,0.396290051,0.401217862,0.671853857,0.317320704
325,1008,1359,341,491,866,666,1499,2225,0.741721854,0.239146431,0.566974596,0.393764434,0.389213483,0.673707865,0.299325843
481,828,1329,415,437,886,896,1265,2215,0.623024831,0.36192626,0.493227991,0.468397291,0.4,0.571106095,0.404514673
204,569,789,158,304,471,362,873,1260,0.721166033,0.258555133,0.645435244,0.335456476,0.373809524,0.692857143,0.287301587
256,632,908,255,393,651,511,1025,1559,0.696035242,0.281938326,0.603686636,0.391705069,0.417575369,0.657472739,0.327774214
245,688,948,210,363,582,455,1051,1530,0.725738397,0.258438819,0.62371134,0.360824742,0.380392157,0.686928105,0.297385621
141,534,685,118,245,366,259,779,1051,0.779562044,0.205839416,0.669398907,0.322404372,0.348239772,0.741198858,0.24643197
191,681,884,174,350,537,365,1031,1421,0.770361991,0.216063348,0.651769088,0.324022346,0.377902885,0.725545391,0.256861365
164,502,682,139,291,445,303,793,1127,0.736070381,0.240469208,0.653932584,0.312359551,0.394853594,0.703637977,0.268855368
